date,price_first_auction,price_second_auction,auction_price_spread,auction_spread_dir,y_proba,trade_signal,trade,position_size,profit,profit_pct,cumulative_profit
2022-07-23 02:00:00,239.6,273.85,34.25000000000003,1,0.6496393227807635,long,long,4.22031249703049,139.5457030232944,13.800189319257333,1626.285960072573
2022-07-23 03:00:00,234.6,254.0,19.40000000000001,1,0.661663157855976,long,long,4.377981344639422,79.93283808600481,7.782575075457388,1706.2187981585778
2022-07-23 04:00:00,236.0,251.01,15.009999999999993,1,0.649407776702775,long,long,4.217304604420413,58.301742112350354,5.857800261288664,1764.5205402709282
2022-07-23 05:00:00,235.0,248.54,13.539999999999992,1,0.6461243094905176,long,long,4.174766233145982,51.526334796796554,5.252054531687534,1816.0468750677248
2022-07-23 06:00:00,258.0,273.0,15.0,1,0.6285446931367679,long,long,3.9506843127039364,54.26026469055905,5.3234094856806635,1870.307139758284
2022-07-23 07:00:00,256.0,285.14,29.139999999999983,1,0.6212564186498064,long,long,3.8595953771358356,107.4686092897382,10.87676852151192,1977.7757490480221
2022-07-23 08:00:00,239.5,263.07,23.569999999999993,1,0.6283585082469441,long,long,3.9483441488632485,88.06247158870674,9.312587205082245,2065.8382206367287
2022-07-23 09:00:00,239.8,265.0,25.19999999999999,1,0.6309172894501044,long,long,3.9805662612706683,95.31026978402079,9.98494466518444,2161.1484904207496
2022-07-23 10:00:00,226.2,254.51,28.31,1,0.630902981345667,long,long,3.9803857187085105,107.68471969663794,11.960141614825293,2268.8332101173874
2022-07-23 11:00:00,221.1,240.12,19.02000000000001,1,0.6091618229947641,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 12:00:00,216.0,224.6,8.599999999999994,1,0.5927047842343617,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 13:00:00,193.0,193.0,0.0,0,0.5937980934280319,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 14:00:00,180.0,187.0,7.0,1,0.6094525658621208,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 15:00:00,180.0,187.15,7.150000000000006,1,0.6038017701496288,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 16:00:00,210.0,211.38,1.3799999999999957,1,0.5392230633587034,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 17:00:00,251.0,275.0,24.0,1,0.5409241275804549,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 18:00:00,265.0,288.67,23.670000000000016,1,0.42253906202751496,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 19:00:00,256.7,274.98,18.28000000000003,1,0.43875100387982113,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 20:00:00,231.9,244.0,12.099999999999994,1,0.46215101574670964,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 21:00:00,220.7,238.38,17.680000000000007,1,0.4821729509938164,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 22:00:00,193.0,195.03,2.030000000000001,1,0.5769351049861566,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-23 23:00:00,285.0,285.8,0.8000000000000114,1,0.5249372257321643,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 00:00:00,250.0,255.01,5.009999999999991,1,0.41836454855074057,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 01:00:00,237.4,241.6,4.199999999999989,1,0.3601085899649513,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 02:00:00,226.0,232.25,6.25,1,0.4232554464791579,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 03:00:00,200.5,220.77,20.27000000000001,1,0.3881155763452312,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 04:00:00,199.4,211.2,11.799999999999985,1,0.46184468809656554,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 05:00:00,184.0,199.96,15.960000000000008,1,0.36014849624179535,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 06:00:00,177.7,193.03,15.330000000000013,1,0.3909311265388332,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 07:00:00,190.6,194.6,4.0,1,0.3648438587721615,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 08:00:00,191.0,175.52,-15.47999999999999,0,0.3419243884082114,hold,hold,0.0,0.0,,2268.8332101173874
2022-07-24 09:00:00,185.7,151.1,-34.599999999999994,0,0.2783362070135426,short,short,5.207986301076003,175.1963260172297,18.1152051861885,2444.029536134617
2022-07-24 10:00:00,198.0,174.3,-23.69999999999999,0,0.2968024198888722,short,short,4.944868366741461,112.19338029177257,11.459015524213594,2556.2229164263895
2022-07-24 11:00:00,200.0,174.3,-25.69999999999999,0,0.2812595498875225,short,short,5.165878346278867,127.76307349936684,12.36605519285973,2683.9859899257563
2022-07-24 12:00:00,201.3,174.3,-27.0,0,0.32422774205800386,hold,hold,0.0,0.0,,2683.9859899257563
2022-07-24 13:00:00,186.5,163.15,-23.34999999999999,0,0.285395547952559,short,short,5.106595228860234,114.23899859388644,11.995106719218446,2798.2249885196425
2022-07-24 14:00:00,174.65,166.45,-8.200000000000017,0,0.32761566761104943,hold,hold,0.0,0.0,,2798.2249885196425
2022-07-24 15:00:00,181.7,153.32,-28.379999999999995,0,0.3303796712117448,hold,hold,0.0,0.0,,2798.2249885196425
2022-07-24 16:00:00,240.0,237.53,-2.469999999999999,0,0.31954474394181137,hold,hold,0.0,0.0,,2798.2249885196425
2022-07-24 17:00:00,270.6,275.38,4.779999999999973,1,0.3112848102369382,short,short,4.743286126103702,-27.672907682775566,-2.155994650405209,2770.552080836867
2022-07-24 18:00:00,312.1,311.95,-0.1500000000000341,0,0.28881615533979865,short,short,5.057824609056654,-4.241326308641329,-0.2686854522622819,2766.3107545282255
